Path	Type	Offset	BitOffset	BitSize	Enum	Description
TimeToolDev.TimeTool.AddValue	<class 'pyrogue._Variable.RemoteVariable'>	0x0	[0]	[8]	None	
TimeToolDev.TimeTool.DialInOpCode	<class 'pyrogue._Variable.RemoteVariable'>	0x0	[8]	[8]	None	
TimeToolDev.TimeTool.DialInTriggerDelay	<class 'pyrogue._Variable.RemoteVariable'>	0x0	[16]	[8]	None	
TimeToolDev.TimeTool.dialInPreScaling	<class 'pyrogue._Variable.RemoteVariable'>	0x0	[24]	[8]	None	
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[0]	<class 'pyrogue._Variable.RemoteVariable'>	0x0	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[1]	<class 'pyrogue._Variable.RemoteVariable'>	0x4	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[2]	<class 'pyrogue._Variable.RemoteVariable'>	0x8	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[3]	<class 'pyrogue._Variable.RemoteVariable'>	0xc	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[4]	<class 'pyrogue._Variable.RemoteVariable'>	0x10	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[5]	<class 'pyrogue._Variable.RemoteVariable'>	0x14	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[6]	<class 'pyrogue._Variable.RemoteVariable'>	0x18	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[7]	<class 'pyrogue._Variable.RemoteVariable'>	0x1c	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[8]	<class 'pyrogue._Variable.RemoteVariable'>	0x20	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[9]	<class 'pyrogue._Variable.RemoteVariable'>	0x24	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[10]	<class 'pyrogue._Variable.RemoteVariable'>	0x28	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[11]	<class 'pyrogue._Variable.RemoteVariable'>	0x2c	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[12]	<class 'pyrogue._Variable.RemoteVariable'>	0x30	[0]	[32]	None	PCIe Configuration Space Header
